%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
25624000000,0,25624000000,bracket_7_link,-2.46277473447,-3.62085547204,8.77711861112,-0.810537434511,1.26019431872,0.575640298665
25634000000,1,25634000000,bracket_7_link,-2.46277473437,-3.620855472,8.77711861112,-0.810460916075,1.2600643356,0.575651359066
25644000000,2,25644000000,bracket_7_link,-2.46277473424,-3.62085547188,8.77711861113,-0.810488246937,1.26005760342,0.575625372193
25657000000,3,25654000000,bracket_7_link,-2.46277473409,-3.62085547181,8.77711861129,-0.810496158478,1.26014263671,0.575626819083
25660000000,4,25664000000,bracket_7_link,-2.46277473397,-3.62085547174,8.7771186114,-0.810521369377,1.26013152786,0.575656281487
25674000000,5,25674000000,bracket_7_link,-2.46277473386,-3.6208554717,8.77711861147,-0.810554336191,1.26020485656,0.575647526899
25684000000,6,25684000000,bracket_7_link,-2.46277473374,-3.62085547161,8.7771186115,-0.810542061984,1.26016147127,0.575667090786
25694000000,7,25694000000,bracket_7_link,-2.46277473362,-3.62085547152,8.7771186116,-0.810538287672,1.260148699,0.575623206834
25704000000,8,25704000000,bracket_7_link,-2.46277473348,-3.62085547145,8.77711861177,-0.810490651882,1.26009326234,0.57564534275
25714000000,9,25714000000,bracket_7_link,-2.4627747334,-3.62085547141,8.77711861177,-0.810514305516,1.26018907647,0.575627904879
25724000000,10,25724000000,bracket_7_link,-2.46277473325,-3.6208554713,8.77711861171,-0.810470339722,1.26014310497,0.575677219118
25734000000,11,25734000000,bracket_7_link,-2.46277473314,-3.62085547127,8.77711861185,-0.810475355711,1.26009736025,0.575663221093
25744000000,12,25744000000,bracket_7_link,-2.46277473304,-3.62085547119,8.77711861184,-0.810467673055,1.26014525496,0.57563869558
25754000000,13,25754000000,bracket_7_link,-2.46277473295,-3.62085547116,8.77711861199,-0.810485991425,1.26007290618,0.575642686445
25764000000,14,25764000000,bracket_7_link,-2.4627747328,-3.62085547106,8.77711861208,-0.810532033443,1.26021357818,0.575627480285
25774000000,15,25774000000,bracket_7_link,-2.46277473264,-3.62085547096,8.77711861223,-0.810540154891,1.26022379624,0.57565511155
25784000000,16,25784000000,bracket_7_link,-2.46277473252,-3.62085547088,8.77711861219,-0.810483675933,1.2601294686,0.575663566413
25794000000,17,25794000000,bracket_7_link,-2.46277473241,-3.62085547082,8.7771186122,-0.810488559954,1.26017177826,0.575654443386
25804000000,18,25804000000,bracket_7_link,-2.46277473227,-3.62085547074,8.77711861224,-0.810491862367,1.26016473751,0.575658590778
25814000000,19,25814000000,bracket_7_link,-2.46277473216,-3.62085547066,8.77711861225,-0.810431949819,1.26012702106,0.575626550498
25824000000,20,25824000000,bracket_7_link,-2.46277473207,-3.62085547064,8.77711861251,-0.81056013506,1.26019725642,0.575654694289
25834000000,21,25834000000,bracket_7_link,-2.46277473192,-3.62085547051,8.77711861242,-0.810520371032,1.26016655021,0.575621819291
25844000000,22,25844000000,bracket_7_link,-2.46277473182,-3.62085547048,8.77711861247,-0.810481089191,1.26015630165,0.575622161272
25854000000,23,25854000000,bracket_7_link,-2.46277473172,-3.6208554704,8.77711861266,-0.81056183414,1.26025289125,0.575608326398
25864000000,24,25864000000,bracket_7_link,-2.46277473159,-3.62085547033,8.77711861264,-0.810476931073,1.26009253712,0.575677482156
25874000000,25,25874000000,bracket_7_link,-2.46277473147,-3.62085547028,8.7771186127,-0.810439710881,1.26011640133,0.575626655989
25884000000,26,25884000000,bracket_7_link,-2.46277473131,-3.62085547016,8.77711861271,-0.810496081407,1.26012678487,0.575651381484
25894000000,27,25894000000,bracket_7_link,-2.4627747312,-3.62085547009,8.77711861279,-0.810420612522,1.2600930227,0.575620692421
25904000000,28,25904000000,bracket_7_link,-2.46277473109,-3.62085547004,8.77711861288,-0.810417039958,1.26003960086,0.575634180391
25914000000,29,25914000000,bracket_7_link,-2.46277473094,-3.62085546995,8.77711861304,-0.810516371389,1.26021442619,0.575653068713
25923000000,30,25924000000,bracket_7_link,-2.46277473083,-3.62085546988,8.77711861295,-0.810486157898,1.26020200558,0.575638107574
25934000000,31,25934000000,bracket_7_link,-2.46277473073,-3.6208554698,8.77711861302,-0.810554061012,1.26018534669,0.575638390661
25944000000,32,25944000000,bracket_7_link,-2.46277473061,-3.62085546973,8.77711861315,-0.810577577532,1.26021035337,0.57564609351
25954000000,33,25954000000,bracket_7_link,-2.46277473047,-3.62085546967,8.77711861327,-0.810504889785,1.26020738598,0.575639649792
25963000000,34,25964000000,bracket_7_link,-2.46277473034,-3.62085546959,8.77711861336,-0.810548064611,1.26024287911,0.57562065031
25974000000,35,25974000000,bracket_7_link,-2.46277473022,-3.62085546952,8.77711861341,-0.81055469199,1.26022141495,0.575614269001
25984000000,36,25984000000,bracket_7_link,-2.4627747301,-3.62085546944,8.77711861359,-0.81060734393,1.26021131507,0.575614714878
25994000000,37,25994000000,bracket_7_link,-2.46277472997,-3.62085546938,8.77711861353,-0.81050733703,1.26013312017,0.575626326705
26004000000,38,26004000000,bracket_7_link,-2.46277472985,-3.62085546929,8.77711861354,-0.810464218551,1.26009255189,0.575619451062
26014000000,39,26014000000,bracket_7_link,-2.46277472968,-3.62085546919,8.77711861364,-0.810567243677,1.26021777743,0.575628158301
26024000000,40,26024000000,bracket_7_link,-2.46277472958,-3.62085546912,8.77711861375,-0.810580200372,1.260245209,0.57563425548
