%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
25573000000,0,25571000000,bracket_3_link,11.0811395225,-4.03282139172e-05,3.881895216,0.536888467311,-3.56030506913,0.920694009362
25582000000,1,25581000000,bracket_3_link,11.0811395221,-4.03281570435e-05,3.88189521599,0.536857027073,-3.56040954939,0.920740509369
25591000000,2,25591000000,bracket_3_link,11.0811395222,-4.03280725444e-05,3.8818952162,0.536903894554,-3.5602298905,0.920537488015
25601000000,3,25601000000,bracket_3_link,11.0811395222,-4.03280420601e-05,3.88189521639,0.536860561941,-3.56094629883,0.920464610622
25611000000,4,25611000000,bracket_3_link,11.0811395222,-4.03279830987e-05,3.88189521653,0.536473071633,-3.56179149508,0.920530577646
25621000000,5,25621000000,bracket_3_link,11.0811395222,-4.03279377929e-05,3.88189521688,0.536640059947,-3.56121360289,0.920650011625
25631000000,6,25631000000,bracket_3_link,11.0811395221,-4.03278561872e-05,3.88189521694,0.536868849989,-3.55994628804,0.920639034709
25641000000,7,25641000000,bracket_3_link,11.0811395221,-4.03278381301e-05,3.88189521716,0.536820641765,-3.56060021535,0.920405875223
25651000000,8,25651000000,bracket_3_link,11.0811395223,-4.03277679281e-05,3.88189521752,0.536664922721,-3.56191568891,0.920357344816
25660000000,9,25661000000,bracket_3_link,11.0811395221,-4.03277061591e-05,3.88189521764,0.536698375604,-3.56133938312,0.92066541809
25671000000,10,25671000000,bracket_3_link,11.0811395217,-4.03276205476e-05,3.88189521759,0.536957747978,-3.55940935442,0.920953118282
25681000000,11,25681000000,bracket_3_link,11.0811395219,-4.03275775158e-05,3.88189521782,0.53638072864,-3.56138087386,0.920795107022
25691000000,12,25691000000,bracket_3_link,11.081139522,-4.03275224116e-05,3.88189521817,0.536441132165,-3.56161532744,0.92047387147
25701000000,13,25701000000,bracket_3_link,11.0811395218,-4.03274519107e-05,3.88189521826,0.536685280364,-3.5611748414,0.920621065755
25711000000,14,25711000000,bracket_3_link,11.0811395218,-4.03273689361e-05,3.88189521856,0.53662264823,-3.56141701973,0.920555231841
25721000000,15,25721000000,bracket_3_link,11.0811395216,-4.03273188457e-05,3.88189521839,0.537073827773,-3.55956320725,0.920839281484
25731000000,16,25731000000,bracket_3_link,11.0811395217,-4.03272429663e-05,3.88189521871,0.536843935842,-3.56023157987,0.920930181999
25741000000,17,25741000000,bracket_3_link,11.0811395216,-4.03271891108e-05,3.88189521879,0.536806483893,-3.56034193084,0.92094180444
25751000000,18,25751000000,bracket_3_link,11.0811395213,-4.03271473763e-05,3.88189521881,0.537046673397,-3.55949693974,0.920742197479
25761000000,19,25761000000,bracket_3_link,11.0811395213,-4.0327104019e-05,3.88189521908,0.536825906869,-3.5598348377,0.920983352482
25771000000,20,25771000000,bracket_3_link,11.0811395215,-4.0327003077e-05,3.88189521934,0.536893952817,-3.56046161135,0.920756410583
25781000000,21,25781000000,bracket_3_link,11.0811395213,-4.03270037919e-05,3.88189521951,0.536527603055,-3.56114211486,0.920815803757
25791000000,22,25791000000,bracket_3_link,11.0811395212,-4.03268799458e-05,3.88189521961,0.536822455233,-3.55971045028,0.921125059692
25801000000,23,25801000000,bracket_3_link,11.0811395211,-4.03268633965e-05,3.88189521968,0.536985037582,-3.55946809835,0.920805789608
25811000000,24,25811000000,bracket_3_link,11.081139521,-4.03268179151e-05,3.88189521981,0.536701893706,-3.56075712252,0.920749867184
25823000000,25,25821000000,bracket_3_link,11.0811395212,-4.03267231717e-05,3.88189522016,0.536905818566,-3.56024603474,0.92081472495
25831000000,26,25831000000,bracket_3_link,11.0811395208,-4.0326705011e-05,3.88189522023,0.536893527633,-3.55990241058,0.92073490232
25841000000,27,25841000000,bracket_3_link,11.0811395211,-4.03266131025e-05,3.8818952205,0.536602714944,-3.56116610543,0.920604187866
25851000000,28,25851000000,bracket_3_link,11.0811395206,-4.03265926457e-05,3.88189522051,0.536921130399,-3.56014249694,0.920579701332
25861000000,29,25861000000,bracket_3_link,11.0811395209,-4.03265063341e-05,3.8818952209,0.536983374731,-3.55988628325,0.920912767499
25871000000,30,25871000000,bracket_3_link,11.0811395207,-4.0326468987e-05,3.88189522088,0.536722671379,-3.56020199734,0.92077444934
25881000000,31,25881000000,bracket_3_link,11.0811395206,-4.03263961949e-05,3.88189522109,0.536680556809,-3.56125253843,0.920556753826
25891000000,32,25891000000,bracket_3_link,11.0811395204,-4.0326327553e-05,3.8818952212,0.537031106732,-3.55908594166,0.920798118906
25898000000,33,25901000000,bracket_3_link,11.0811395205,-4.03262807805e-05,3.88189522137,0.53691489963,-3.55930571026,0.920923992377
25911000000,34,25911000000,bracket_3_link,11.0811395205,-4.03261874558e-05,3.88189522159,0.536636561089,-3.56073619616,0.920868086223
25921000000,35,25921000000,bracket_3_link,11.0811395203,-4.03261203068e-05,3.88189522157,0.537157467154,-3.5592123038,0.920835029593
25931000000,36,25931000000,bracket_3_link,11.0811395202,-4.03260736244e-05,3.88189522178,0.53693513339,-3.56004254735,0.920795963003
25941000000,37,25941000000,bracket_3_link,11.0811395201,-4.0326032591e-05,3.88189522194,0.537026809346,-3.55925900793,0.920941225554
25951000000,38,25951000000,bracket_3_link,11.0811395202,-4.03259383916e-05,3.8818952223,0.53667167015,-3.56147391451,0.920536509059
25961000000,39,25961000000,bracket_3_link,11.0811395204,-4.0325913972e-05,3.88189522271,0.536489413894,-3.56204557129,0.920422998223
25972000000,40,25971000000,bracket_3_link,11.08113952,-4.03258228039e-05,3.88189522259,0.53686917039,-3.56076635085,0.920585904338
25981000000,41,25981000000,bracket_3_link,11.0811395203,-4.03257661942e-05,3.88189522295,0.536645794096,-3.56190358108,0.920401710544
25991000000,42,25991000000,bracket_3_link,11.0811395199,-4.0325715654e-05,3.88189522298,0.537169984849,-3.55963771459,0.920753753277
26001000000,43,26001000000,bracket_3_link,11.0811395198,-4.03256264873e-05,3.88189522314,0.536883147858,-3.5599174676,0.920693125729
26011000000,44,26011000000,bracket_3_link,11.0811395199,-4.03255911853e-05,3.88189522337,0.536823059076,-3.56088867415,0.920475754898
26021000000,45,26021000000,bracket_3_link,11.0811395198,-4.03255434124e-05,3.88189522352,0.536683640272,-3.56167770075,0.920467698504
26031000000,46,26031000000,bracket_3_link,11.0811395198,-4.0325479969e-05,3.88189522381,0.536565901235,-3.56183508645,0.920477497072
26041000000,47,26041000000,bracket_3_link,11.0811395199,-4.03254340748e-05,3.88189522382,0.536707657984,-3.56093032373,0.920484781274
26051000000,48,26051000000,bracket_3_link,11.0811395198,-4.03253589097e-05,3.88189522407,0.536309742605,-3.56280222464,0.92047207338
26061000000,49,26061000000,bracket_3_link,11.0811395199,-4.03253228447e-05,3.88189522433,0.536742727584,-3.56143863491,0.92035818455
26071000000,50,26071000000,bracket_3_link,11.0811395196,-4.03252726052e-05,3.88189522435,0.53646689877,-3.561537646,0.920652022065
26081000000,51,26081000000,bracket_3_link,11.0811395195,-4.03251943245e-05,3.88189522461,0.536535545029,-3.56174337407,0.920487410545
26091000000,52,26091000000,bracket_3_link,11.0811395195,-4.03251296749e-05,3.88189522455,0.53671926881,-3.56140801613,0.920488371668
26101000000,53,26101000000,bracket_3_link,11.0811395197,-4.03250710413e-05,3.88189522512,0.536496959527,-3.56318732086,0.920279359503
26111000000,54,26111000000,bracket_3_link,11.0811395193,-4.03250303836e-05,3.88189522501,0.536912709494,-3.56128095963,0.920463295612
26121000000,55,26121000000,bracket_3_link,11.0811395193,-4.03249536978e-05,3.88189522516,0.536770829574,-3.56096374627,0.920440968061
26131000000,56,26131000000,bracket_3_link,11.0811395196,-4.03248881536e-05,3.88189522547,0.53667922561,-3.56163849594,0.920507403706
26141000000,57,26141000000,bracket_3_link,11.0811395191,-4.03248308527e-05,3.88189522553,0.536936465387,-3.5601552056,0.920644439039
26151000000,58,26151000000,bracket_3_link,11.0811395193,-4.03247646952e-05,3.88189522577,0.536856850424,-3.56117174117,0.920424016603
26161000000,59,26161000000,bracket_3_link,11.0811395194,-4.03246936682e-05,3.88189522595,0.536409315291,-3.56206449965,0.920710894614
26171000000,60,26171000000,bracket_3_link,11.0811395189,-4.03246428866e-05,3.8818952259,0.536859344779,-3.5600048707,0.920694123237
26181000000,61,26181000000,bracket_3_link,11.081139519,-4.03246376608e-05,3.88189522609,0.536731100995,-3.56064969288,0.920559911585
26191000000,62,26191000000,bracket_3_link,11.0811395188,-4.03245015624e-05,3.88189522626,0.536827140516,-3.56073561623,0.92077943511
26201000000,63,26201000000,bracket_3_link,11.0811395189,-4.03244851199e-05,3.88189522646,0.53707560158,-3.55888326497,0.9209363417
26210000000,64,26211000000,bracket_3_link,11.0811395187,-4.03244006715e-05,3.88189522663,0.536832285078,-3.5603705645,0.92068173155
26221000000,65,26221000000,bracket_3_link,11.0811395187,-4.0324375188e-05,3.88189522673,0.536781692458,-3.56031832219,0.920569987261
26231000000,66,26231000000,bracket_3_link,11.0811395188,-4.03243088921e-05,3.88189522698,0.536604267257,-3.56139484587,0.920683237956
26241000000,67,26241000000,bracket_3_link,11.0811395184,-4.03242400471e-05,3.8818952268,0.536828809708,-3.56067112371,0.92071020564
26251000000,68,26251000000,bracket_3_link,11.0811395183,-4.03241741362e-05,3.88189522713,0.536743676588,-3.56053453889,0.92075263797
26261000000,69,26261000000,bracket_3_link,11.0811395182,-4.03241052851e-05,3.88189522728,0.537072024901,-3.55893509341,0.920959345488
26271000000,70,26271000000,bracket_3_link,11.0811395183,-4.03240552121e-05,3.88189522754,0.536891709796,-3.56007376326,0.920985746446
26281000000,71,26281000000,bracket_3_link,11.0811395183,-4.03239790057e-05,3.88189522775,0.536609930635,-3.56074619808,0.920789355421
26291000000,72,26291000000,bracket_3_link,11.0811395183,-4.03239303381e-05,3.88189522794,0.536725451815,-3.56105460958,0.920725640352
26301000000,73,26301000000,bracket_3_link,11.0811395181,-4.03238826155e-05,3.88189522811,0.536833522358,-3.56025431702,0.92096584295
26311000000,74,26311000000,bracket_3_link,11.081139518,-4.03238539316e-05,3.88189522828,0.536837428455,-3.56071509476,0.920554022023
26320000000,75,26321000000,bracket_3_link,11.0811395182,-4.0323752342e-05,3.88189522861,0.536444644707,-3.56150130583,0.920590119212
26331000000,76,26331000000,bracket_3_link,11.0811395181,-4.03236802462e-05,3.88189522877,0.536845860761,-3.56026495873,0.920642274565
26341000000,77,26341000000,bracket_3_link,11.0811395178,-4.03236416672e-05,3.88189522865,0.537199896767,-3.55801861405,0.921064171967
26351000000,78,26351000000,bracket_3_link,11.0811395179,-4.03235646016e-05,3.881895229,0.536998860453,-3.56025542313,0.920709869388
26360000000,79,26361000000,bracket_3_link,11.0811395178,-4.03235111002e-05,3.88189522909,0.536756552246,-3.56039784086,0.920733788052
26370000000,80,26371000000,bracket_3_link,11.0811395178,-4.03234212387e-05,3.88189522938,0.536606720205,-3.56098660431,0.920844535552
26381000000,81,26381000000,bracket_3_link,11.0811395181,-4.03234115066e-05,3.88189522964,0.536570078902,-3.56218199079,0.920481131149
26391000000,82,26391000000,bracket_3_link,11.0811395178,-4.03233420545e-05,3.88189522971,0.536879736594,-3.560448375,0.920810304932
26401000000,83,26401000000,bracket_3_link,11.0811395175,-4.03232863186e-05,3.88189522968,0.536790168108,-3.56062357296,0.920687934636
26411000000,84,26411000000,bracket_3_link,11.0811395176,-4.03232263894e-05,3.88189522979,0.536875564715,-3.56002512228,0.920821784827
26421000000,85,26421000000,bracket_3_link,11.0811395173,-4.03231792027e-05,3.88189522997,0.537086957775,-3.55874496736,0.920994226436
26431000000,86,26431000000,bracket_3_link,11.0811395173,-4.03231296241e-05,3.8818952302,0.536855068232,-3.56002200149,0.920721916318
26441000000,87,26441000000,bracket_3_link,11.0811395175,-4.0323079686e-05,3.88189523039,0.536876710208,-3.5597193387,0.920852120175
26450000000,88,26451000000,bracket_3_link,11.0811395172,-4.03230020163e-05,3.88189523052,0.53678005918,-3.56064835894,0.920714186656
26461000000,89,26461000000,bracket_3_link,11.0811395173,-4.03229379162e-05,3.8818952307,0.536832423673,-3.56007599299,0.92081926475
26471000000,90,26471000000,bracket_3_link,11.0811395171,-4.03228664229e-05,3.88189523072,0.536759181541,-3.56023331933,0.920818320873
26481000000,91,26481000000,bracket_3_link,11.0811395169,-4.03228003174e-05,3.88189523095,0.537060987016,-3.55971349858,0.920630823415
26491000000,92,26491000000,bracket_3_link,11.081139517,-4.03227387707e-05,3.88189523105,0.536960344884,-3.5598012626,0.92085181128
26501000000,93,26501000000,bracket_3_link,11.081139517,-4.03226915252e-05,3.88189523148,0.537113449076,-3.55895788055,0.92094410764
26511000000,94,26511000000,bracket_3_link,11.0811395171,-4.03226191232e-05,3.88189523168,0.536973398754,-3.55973779499,0.920913857108
26521000000,95,26521000000,bracket_3_link,11.0811395167,-4.03226127833e-05,3.88189523155,0.536845794366,-3.55994190726,0.920643813845
